rung  WNS(ns)   delta   worst startpoint -> endpoint
   0   -1.778  +0.000   FtbPlugin_logic_rspPayload_target_reg[12]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
   1   -1.776  +0.002   _zz_DecodeStage_logic_fed_payload_specs_0_spec_size_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
   2   -1.770  +0.006   _zz_DecodeStage_logic_fed_payload_packets_0_words_0_reg[4]/C -> FetchAlignPlugin_logic_predictPending_reg/D
   3   -1.752  +0.018   DcachePlugin_logic_missSet_reg[4]/C -> IssueQueuePlugin_logic_sbNzvc_busy_reg[9]/D
   4   -1.745  +0.007   FetchAlignPlugin_logic_targetHoldPc_reg[13]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
   5   -1.741  +0.004   FetchAlignPlugin_logic_fetchPc_reg[14]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
   6   -1.716  +0.025   FetchAlignPlugin_logic_ftqHead_reg[0]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
   7   -1.696  +0.020   DcachePlugin_logic_stS2Payload_paddr_reg[8]/C -> IssueQueuePlugin_logic_sbNzvc_busy_reg[9]/D
   8   -1.691  +0.005   FetchAlignPlugin_logic_targetHoldValid_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
   9   -1.672  +0.019   DcachePlugin_logic_missCmode_reg[1]/C -> IssueQueuePlugin_logic_sbNzvc_busy_reg[9]/D
  10   -1.664  +0.008   DcachePlugin_logic_tagMem_2_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  11   -1.644  +0.020   _zz_DecodeStage_logic_fed_payload_packets_0_words_1_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  12   -1.632  +0.012   DcachePlugin_logic_tagMem_3_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  13   -1.625  +0.007   FetchAlignPlugin_logic_ibuf/headPtr_reg[0]_rep/C -> FetchAlignPlugin_logic_predictPending_reg/D
  14   -1.613  +0.012   FetchAlignPlugin_logic_ibuf/headPtr_reg[1]_rep__0/C -> FetchAlignPlugin_logic_predictPending_reg/D
