rung  WNS(ns)   delta   worst startpoint -> endpoint
   0   -1.472  +0.000   FetchAlignPlugin_logic_stalled_reg/C -> IcachePlugin_logic_lineReg_reg[418]/D
   1   -1.460  +0.012   FetchAlignPlugin_logic_ftqHead_reg[0]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[0]/D
   2   -1.451  +0.009   _zz_DecodeStage_logic_fed_payload_packets_0_words_0_reg[4]/C -> FetchAlignPlugin_logic_predictPending_reg/D
   3   -1.447  +0.004   DcachePlugin_logic_tagMem_3_reg/CLKARDCLK -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
   4   -1.436  +0.011   FetchAlignPlugin_logic_quiesce_reg/C -> IcachePlugin_logic_lineReg_reg[418]/D
   5   -1.432  +0.004   GsharePlugin_logic_pht_spinal_port3_reg[1]/C -> IcachePlugin_logic_lineReg_reg[418]/D
   6   -1.423  +0.009   FtbPlugin_logic_rspPayload_brType_reg[0]/C -> IcachePlugin_logic_lineReg_reg[418]/D
   7   -1.410  +0.013   GsharePlugin_logic_pht_spinal_port4_reg[1]/C -> IcachePlugin_logic_lineReg_reg[418]/D
   8   -1.406  +0.004   FtbPlugin_logic_rspPayload_brWordOff_reg[0]/C -> IcachePlugin_logic_lineReg_reg[418]/D
   9   -1.389  +0.017   FetchAlignPlugin_logic_decodePc_reg[3]_rep/C -> FetchAlignPlugin_logic_predictPending_reg/D
  10   -1.389  +0.000   DcachePlugin_logic_tagMem_1_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  11   -1.388  +0.001   FetchAlignPlugin_logic_targetHoldValid_reg/C -> IcachePlugin_logic_lineReg_reg[418]/D
  12   -1.381  +0.007   FetchAlignPlugin_logic_decodePc_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
