rung   WNS      delta    startpoint -> endpoint
   0   -1.472     --     DcachePlugin_logic_stS2Payload_paddr_reg[5]/C -> IssueQueuePlugin_logic_sbNzvc_busy_reg[8]/D
   1   -1.472   +0.000   FetchAlignPlugin_logic_stalled_reg/C -> IcachePlugin_logic_lineReg_reg[418]/D
   2   -1.460   +0.012   FetchAlignPlugin_logic_ftqHead_reg[0]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[0]/D
   3   -1.451   +0.009   _zz_DecodeStage_logic_fed_payload_packets_0_words_0_reg[4]/C -> FetchAlignPlugin_logic_predictPending_reg/D
   4   -1.451   +0.000   DcachePlugin_logic_stS2Payload_paddr_reg[6]/C -> IssueQueuePlugin_logic_lines_7_ways_0_triggers_reg[9]/D
   5   -1.449   +0.002   DcachePlugin_logic_stS1Payload_paddr_reg[8]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[42]/D
   6   -1.447   +0.002   DcachePlugin_logic_tagMem_3_reg/CLKARDCLK -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
   7   -1.442   +0.005   DcachePlugin_logic_missSet_reg[5]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
   8   -1.438   +0.004   DcachePlugin_logic_stS2Payload_paddr_reg[9]/C -> IssueQueuePlugin_logic_sbNzvc_busy_reg[9]/D
   9   -1.434   +0.004   FetchAlignPlugin_logic_quiesce_reg/C -> IcachePlugin_logic_lineReg_reg[462]/D
  10   -1.428   +0.006   DcachePlugin_logic_stS1Payload_paddr_reg[6]/C -> IssueQueuePlugin_logic_lines_4_ways_0_triggers_reg[0]/D
  11   -1.418   +0.010   GsharePlugin_logic_pht_spinal_port3_reg[1]/C -> IcachePlugin_logic_commitBeat_reg[0]_rep__5_replica/D
  12   -1.417   +0.001   DcachePlugin_logic_stS1Payload_paddr_reg[10]/C -> DcachePlugin_logic_dataMem_3_reg_1/ADDRARDADDR[12]
  13   -1.413   +0.004   DcachePlugin_logic_missSet_reg[3]_rep__0/C -> IssueQueuePlugin_logic_lines_5_ways_0_triggers_reg[0]/D
  14   -1.408   +0.005   FtbPlugin_logic_rspPayload_brType_reg[0]/C -> IcachePlugin_logic_lineReg_reg[338]/D
  15   -1.408   +0.000   DcachePlugin_logic_stS1Payload_paddr_reg[5]/C -> IssueQueuePlugin_logic_lines_6_ways_0_triggers_reg[9]/D
  16   -1.402   +0.006   DcachePlugin_logic_missSet_reg[6]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[32]/D
  17   -1.394   +0.008   GsharePlugin_logic_pht_spinal_port4_reg[1]/C -> IcachePlugin_logic_lineReg_reg[460]/D
  18   -1.389   +0.005   FtbPlugin_logic_rspPayload_brWordOff_reg[0]/C -> IcachePlugin_logic_lineReg_reg[455]/D
  19   -1.389   +0.000   DcachePlugin_logic_tagMem_1_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  20   -1.383   +0.006   DcachePlugin_logic_stS2Payload_paddr_reg[7]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[36]/D
  21   -1.378   +0.005   IssueQueuePlugin_logic_lines_0_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[41]/D
  22   -1.373   +0.005   DcachePlugin_logic_missSet_reg[4]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[15]/D
  23   -1.372   +0.001   FtbPlugin_logic_rspPayload_brWordOff_reg[1]/C -> IcachePlugin_logic_fsm_stateReg_reg[0]_rep__2/D
  24   -1.369   +0.003   DcachePlugin_logic_tagMem_2_reg/CLKARDCLK -> DcachePlugin_logic_valids_1_100_reg/D
  25   -1.363   +0.006   FetchAlignPlugin_logic_targetHoldValid_reg/C -> IcachePlugin_logic_pfErr_0_reg/D
  26   -1.346   +0.017   GsharePlugin_logic_pht_spinal_port2_reg[1]/C -> IcachePlugin_logic_lineReg_reg[463]/D
  27   -1.346   +0.000   DcachePlugin_logic_stS2Payload_paddr_reg[8]/C -> IssueQueuePlugin_logic_lines_4_ways_1_sel_reg/D
  28   -1.343   +0.003   AluEuPlugin_logic_s1Ctx_uop_op_reg[1]/C -> RobPlugin_logic_nzvcValStore_44_reg[2]/D
  29   -1.330   +0.013   DcachePlugin_logic_missSet_reg[2]_rep__0/C -> IssueQueuePlugin_logic_lines_5_ways_0_triggers_reg[9]/D
  30   -1.325   +0.005   DcachePlugin_logic_missSet_reg[1]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[9]/D
  31   -1.323   +0.002   DcachePlugin_logic_stS1Payload_paddr_reg[9]/C -> DcachePlugin_logic_dataMem_2_reg_1/ADDRARDADDR[6]
  32   -1.323   +0.000   FetchAlignPlugin_logic_ftqHead_reg[2]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[1]/D
  33   -1.318   +0.005   GsharePlugin_logic_pht_spinal_port5_reg[1]/C -> IcachePlugin_logic_lineReg_reg[129]/CE
  34   -1.318   +0.000   DcachePlugin_logic_tagMem_0_reg/CLKARDCLK -> DcachePlugin_logic_valids_3_91_reg/D
  35   -1.309   +0.009   FetchAlignPlugin_logic_faultHold_reg/C -> IcachePlugin_logic_lineReg_reg[13]/CE
  36   -1.308   +0.001   RobPlugin_logic_faultedStore_62_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[113]/CE
